order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
82daed31f80350ce51f518369a8d181c,d1240cdcdb9e6f08aa9a329bf1751c0e,delivered,2017-06-27T10:45:08.000Z,2017-06-27T11:04:48.000Z,2017-06-27T14:56:54.000Z,2017-06-29T16:45:36.000Z,2017-07-10T00:00:00.000Z
8adafb3466daa5395694d3a906ff9d40,b7919647bde69acc948baa47823d6c75,delivered,2017-01-25T15:47:27.000Z,2017-01-25T16:02:29.000Z,2017-02-07T08:09:23.000Z,2017-02-14T14:03:35.000Z,2017-03-23T00:00:00.000Z
4380bb6c7d8375926bbea2c8b514dc8c,11617a4c5fc72fccb4c2a53ea21c5a3c,delivered,2018-01-29T21:09:10.000Z,2018-01-29T21:32:17.000Z,2018-01-31T13:12:45.000Z,2018-02-14T21:43:34.000Z,2018-02-21T00:00:00.000Z
88c588c116fd06fb8e48dd83af88ec4a,8787c72a20002592238d7b80721ab729,delivered,2017-11-19T13:23:27.000Z,2017-11-19T13:35:26.000Z,2017-11-24T22:06:56.000Z,2017-12-22T17:44:27.000Z,2017-12-12T00:00:00.000Z
2d816b6a11ddd3843f307d1333321091,95303e4c9c23d67877e4b20afb04bfa8,delivered,2017-08-22T18:53:15.000Z,2017-08-22T19:06:03.000Z,2017-08-24T16:13:41.000Z,2017-08-25T20:12:31.000Z,2017-09-06T00:00:00.000Z
0cb25b24a27e27dd18273360995e99f4,b03b8bf457533ef245fd5fa2681732d0,delivered,2018-07-23T14:37:05.000Z,2018-07-23T16:00:30.000Z,2018-07-24T13:28:00.000Z,2018-07-25T23:36:35.000Z,2018-08-02T00:00:00.000Z
70462ebcf26934be8bd0327d2e6103d3,fb8b8298c590af3ee3169596c5ec2114,delivered,2018-08-20T22:06:10.000Z,2018-08-20T22:29:24.000Z,2018-08-21T13:49:00.000Z,2018-08-22T22:02:31.000Z,2018-08-28T00:00:00.000Z
4e21387c48145e5e07a1d552b1a69776,766a6dd9d0045e8462f001462976ff99,delivered,2018-02-06T16:17:58.000Z,2018-02-06T16:30:37.000Z,2018-02-07T16:28:28.000Z,2018-02-14T20:29:13.000Z,2018-03-02T00:00:00.000Z
ff8780cfb4535054cc5b56046b170cc0,f9835897d532524a6e9686847d4db4a7,delivered,2017-09-21T14:09:26.000Z,2017-09-22T05:34:34.000Z,2017-09-22T18:22:55.000Z,2017-10-01T14:33:15.000Z,2017-10-18T00:00:00.000Z
21094f6fd8017c8b7339040142abea71,faee0cb7b3e2c9fd9f57ec04cb70d51a,delivered,2018-07-24T18:10:05.000Z,2018-07-24T18:25:09.000Z,2018-07-30T14:17:00.000Z,2018-08-03T20:17:49.000Z,2018-08-24T00:00:00.000Z
