product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
dc21247da0290904ffbbcd5953c76f95,papelaria,41,92,1,100,16,5,16
af16005fca813272caf59c432153949e,moveis_decoracao,55,1186,2,800,53,8,20
fe9184887637170f6da65623475d6a66,construcao_ferramentas_construcao,37,2457,1,600,26,17,17
80a96c144008b8446632f872d3b1a3ed,utilidades_domesticas,46,193,1,1025,25,23,25
5b706747080dcd34b3ebd803c25ccd65,relogios_presentes,52,654,4,340,47,13,13
be19e1611a6015a66266d199ff3ccce0,consoles_games,38,456,1,150,29,2,16
7e5fe07db814cff1e50a7561a10e37ef,cama_mesa_banho,54,672,2,250,16,10,16
a4c27cf9767fe2b589251c764b891eda,perfumaria,58,1061,2,368,22,15,18
5c0df984f68150bd43a1a59aaa83c13f,pet_shop,26,784,1,150,30,20,20
b3c13ca98fb6f9dd5c6aec8b1d353506,bebes,59,2270,2,350,69,11,11
1c6b0760060e08631997f228e1d07a78,cama_mesa_banho,41,111,1,350,40,4,30
79b1bbaa733d92414726da0dc53e221c,beleza_saude,58,2167,3,850,27,4,11
b3129f40b427408e82987db1b30eefd9,cama_mesa_banho,57,184,1,650,30,8,25
6562dd6467621f6b5ab019a96d4ee8c7,automotivo,56,920,1,9850,56,15,15
8aa1ba72d595bcf58ead2e5636f006cc,moveis_escritorio,59,1298,1,9350,52,52,17
517dd1c1cda3892f83d386dcf9a4e9b7,moveis_decoracao,63,701,5,1750,35,10,35
4e1d8ab59a756d83db0a0902c1342e11,telefonia,60,823,2,100,16,22,11
79fca321dbd3453bd8211690e39f1659,bebes,59,1045,3,1150,42,25,15
dbb9d74e911f8db0dd4d85878064ceb3,papelaria,53,388,2,450,38,33,26
ab7be0a001c3104b4931ce39ed70857d,informatica_acessorios,42,446,1,800,29,13,20
7c1001239dfe84755f6c35910436abd1,automotivo,58,1125,6,100,16,5,11
00e2784f846618842151d40ec730ece0,moveis_decoracao,42,914,1,800,21,34,34
bec7585cabd7834bae06fc5bd3475cc9,cama_mesa_banho,47,641,3,2150,50,10,40
bc0f31b5e89dfeba8169ad1123d44d2b,climatizacao,46,1215,1,350,18,5,14
70a9f1d2c0e23019d6b8db85a81e69c8,cool_stuff,58,989,1,2500,42,25,15
0a863e93d7d478b95b764c3344d10307,papelaria,57,83,2,600,20,30,20
227ae51127a60b162b1696de1cc8a10b,bebes,47,1058,2,2797,35,35,16
7988cff50cb75e08e6b68640b19e55aa,relogios_presentes,42,176,1,576,20,13,17
81c01a12e5d25299ba2283cfb09de22a,casa_construcao,59,877,7,600,16,27,16
72a26085dd4fbd27f7206188081008d9,utilidades_domesticas,47,587,3,1000,28,12,21
79469b17ae739422fe9f4c789d6de229,automotivo,55,248,1,3750,33,20,33
19239f99ecca2c266c57cdce121a6727,cool_stuff,21,608,1,850,31,20,32
f91a53ddc9bba002d1f3d77e9a39c07e,malas_acessorios,37,386,3,700,40,15,40
c1f92ce1be9e7475e7c8eae32d9e165b,fashion_bolsas_e_acessorios,45,385,4,300,16,5,20
8ea996926ff2f9c0e50e2f70b8e01051,beleza_saude,40,3593,1,1100,16,19,15
6413f8d0daa3a38887a14917589e7da5,relogios_presentes,58,1283,2,225,18,8,19
b6cefe1d620b9208fe6fae76b2c72887,bebes,38,1636,1,200,16,5,16
6fc899fd090b5b49145aefa27ce95d82,telefonia,56,677,2,100,16,6,15
4c2394abfbac7ff59ec7a420918562fa,beleza_saude,49,1495,3,600,33,19,13
c6cae2869a248cef27c00f3340ac90a6,moveis_decoracao,56,1181,2,600,53,8,11
eaa53c85856d19bc9f611f5628b4ce7b,construcao_ferramentas_iluminacao,56,290,4,600,38,15,25
244811270c7c86b6cec6e934c059e086,moveis_decoracao,56,1271,3,5400,46,7,46
ce250e78def55ee3c4c8b8f708fcd867,casa_construcao,41,215,6,150,16,7,12
a2f108447e5847c9edd533c37908bf01,construcao_ferramentas_iluminacao,55,360,2,300,20,20,20
0442663b51251c398df7f53c29e29812,esporte_lazer,34,1132,8,6600,105,15,25
cbdb31ccb8741d52e26bf2a42c1648d1,utilidades_domesticas,28,354,1,2300,50,11,50
062907032db5e0c065bab136233a9544,cama_mesa_banho,52,544,1,606,30,9,28
e83e378e0d9201ebc31bbf3ceb57f9fe,automotivo,60,700,1,50,32,2,24
d7eb9229e8b6c34f6d8333caf9533f69,utilidades_domesticas,53,575,3,2800,20,60,20
72d0cc6588b5d4f4e26007c2e709315c,cama_mesa_banho,53,1016,1,3250,31,51,16
3c025396e63ff6925a3b68781e8b3456,instrumentos_musicais,50,364,3,100,16,9,11
a7206a94bef040212c063390c1f2e4e0,beleza_saude,42,327,1,1750,23,23,23
691e72a37278e33ac031c3976358446b,brinquedos,53,433,1,900,40,12,30
38947803f4effe2c45539bd71b509529,brinquedos,51,774,2,2633,37,20,29
4413a608a42bd21bbf9d5abbd58c249a,cool_stuff,57,1620,1,2350,16,40,16
dfb97c88e066dc22165f31648efe1312,automotivo,53,597,1,5417,47,44,44
a996a4fecaea5e7e2638d2c5078ebf4b,moveis_decoracao,64,69,11,1050,42,11,35
8b6c7a1576a913518e4085451e978bf9,esporte_lazer,44,1219,1,867,21,18,16
70ee18fa7f4c08a0d334497bf8969f59,eletronicos,52,476,3,200,23,5,18
bf6c420d93ff5c0a5d8fd3b6c975dbd5,moveis_decoracao,63,525,2,700,80,10,60
a38e6346616a8f362c328b9537b1ca4d,fashion_esporte,38,220,2,250,18,12,12
829002c1d5f40820ebbc6ecd4bcdf3ab,casa_construcao,59,664,1,5150,30,35,30
55b0c08f98075107c8b7d4ccded44f05,fashion_bolsas_e_acessorios,38,158,5,150,16,9,20
cdd63834cc3da0f9225cc20f494dc137,,,,,700,25,5,19
49dbea290802d8ca27cfebececcaa1a2,cool_stuff,33,658,1,1350,42,25,15
376450070f391460f4b67e13166cae60,telefonia,54,276,1,275,22,3,16
