customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
df85b96ba2ce3e49bde101b1614f52ac,8d46223c91cbeb93e0930ca8bd8ffca2,83085,sao jose dos pinhais,PR
dc0a596a36f033e89eeecbbbaa5603e9,8dfb24fac32ec7170821d2be63fa9c1c,37701,pocos de caldas,MG
2173c184771a8a19f6fc87d8b3dea9e0,5e65571d0f33dc17c099484ae3f25a4a,88054,florianopolis,SC
e0c77096ebcb9aedc1c613ac43e0ccfc,c7a2cdaf9d8bf3ad353e055e39024bfd,89825,xaxim,SC
9c8618b4f6ec3b019f860e278d9294a5,84534c29f49cfc37bda78a29e6c6b629,90440,porto alegre,RS
0d8a00a1a77519c094786a9dfddea03b,3841e1601654a5e39f3455f9c8a14f41,41230,salvador,BA
f28c324210f50213fb650245fd97917f,864e517a3d25387ba522277812310dff,8021,sao paulo,SP
bdd0f17022455a9b45e7d5db47fb6598,d83533715a8843e3a26adf36d889e9b7,14240,cajuru,SP
96fc32169071d688c5699248a7446266,2a00867580df286f5cb7319c089dc615,14160,sertaozinho,SP
ee8ee27bccc792f9be6a47c298ef0cd2,d3208883d734ac735915923d3cdc57a7,84990,arapoti,PR
7bb3b0d45b4e1a13cd914e4a135e6bd9,286cb34c005540e593bea6045b73bc5a,4115,sao paulo,SP
9de58209bf50e78c31e5b6e603c3cba8,1765fef079a8c44a1bce872e31aad75b,89165,rio do sul,SC
fa7f8570497a9887509dbdafa8a9513e,521effe432b061eb3826b269917d5399,6018,osasco,SP
ff43182cf77e7ee5609976d3f7a7bade,09252bc15c7c9e9b2538343227d15826,22790,rio de janeiro,RJ
c5120593ae070f182abd4f50a81de05e,e87c2e2e5985c5996ec20651a3d50fe7,70770,brasilia,DF
f2bd912dcfcf35f4ed1c60688bf4705d,759f139e3c6deb5c492243ae1b7b984c,11740,itanhaem,SP
69183687970f872e3ff323cc65de88f6,62d8ae2b4bf78c14b18edfc2fa96eaf4,66030,belem,PA
563c9edb84368a0b4549c5fe109ea12b,c828fe6a294e7fc4aff1453ff182e70c,5724,sao paulo,SP
361fdb99ba935f962692efed864a6c72,e4606029a8223c9d47ba6779e2dc602a,4904,sao paulo,SP
c330f7967c92a086239c675991cb6aa6,361dc89b24a5dc808b2803a1ac33ff3f,57046,maceio,AL
b9b2638983d22185ac84fa7d6526ab78,5c97470e81d70f76f49f8906924fc577,5016,sao paulo,SP
2ab287664f47af4b8998ec02158469be,578035514ad8238fa724f24b4aabc1df,88705,tubarao,SC
241f39fba4b7707ec98ec5c226d7a143,6281a312c55bf0b4f93685b3fadd24ab,5539,sao paulo,SP
ebfe1d2a6e0bc6f787ba81a4efcdbd74,cbf264f2bf7bf8a8651669ad2191bc4d,36083,juiz de fora,MG
521a87ca8dc6b61ccc88f0ac1ce2ab00,754b8fac9ad4dc992a954798894ddc38,5570,sao paulo,SP
b780a7d8b32ede7bd4edd751c7765172,41870f4536c0b2734b7f5eac01b7fc54,28912,cabo frio,RJ
c5bbfe67cb7212c9e6390fcd598caf85,bc867ebfaaeb874d54cbf1da33fd4a1b,3575,sao paulo,SP
654462019c31f990e4e83b074b585b0e,0aab2a678227c8ea1cab4315e5c1094a,11523,cubatao,SP
c24fc4f24d2c6bd64d612774f52d6a97,f7f16795a1871264c01bd5464a30b437,25070,duque de caxias,RJ
e724d380e31da91cf1b08843ca18d53c,698b014f7129b0ccf246ad43e68ae720,31030,belo horizonte,MG
