review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
382d855ffdd4f5e66594dbfb1566e96f,f506fd1443d94ad16f25a94426fb8805,5,10,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,2018-06-03 00:00:00,2018-06-04 00:38:19
b9bc677ac0e014a1c9f2340ea72f17a1,b154b6c273af25ad4864ee4dcf0e47b8,1,,,2017-09-22 00:00:00,2017-09-23 09:49:36
trata-se de um produto inferior!,,,,,,
90d7c8c2bc4d1328995149f3fd6ea941,bac1117353bfc077a092eb57e24419cc,5,,O relógio é lindo e a entrega foi muito rápida. Recomendo!,2017-09-07 00:00:00,2017-09-07 21:10:19
e9c585a94227ab05461a7675ca5f010c,55d599a99424bf5a0293a84f8f65a13f,5,,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",2017-12-02 00:00:00,2017-12-05 10:38:08
4d7c13d439b1f6a19f9c69b7aa18f077,a558df35f2582dce7a0a683f618ea859,5,,Atendeu as expectativas,2018-03-08 00:00:00,2018-03-08 23:50:45
221f207f3bfa2341ed277a3fe4ad3c58,b197c69f9dfbfc27ce0254caf81ea16c,3,,,2017-07-29 00:00:00,2017-07-31 13:43:25
0d38d463f582db8b6dd0dcd7f3413bd1,82261ff3dcd4a370acb65149a5507506,1,,"Ainda não recebi o produto... varios dias que fiz a compra. entrega demorada pelas compras que faço online, ainda estou aguardando a entrega",2018-04-05 00:00:00,2018-04-06 17:42:58
dbf6e27fafcec3228eb84ad6c0008fc3,d7bfe7ef14d1debee523b680ae421489,5,Rápido e preciso.,Excelente loja...envio rápido e produto certo.,2018-05-16 00:00:00,2018-05-17 01:21:52
58806f6e7760bf8b82aac29f0e6d28b7,2454a5f6b258e0f1239d6b193c7f2784,5,,,2018-05-13 00:00:00,2018-05-14 14:58:19
1f05c920c5b0198a76758b659b910901,9731600489418b72d2c8c1c914fbf05b,5,,"Produto excelente para jogar no PS2.",,
