review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
5939898b5d2ac05454b2fe1aeecaad19,ff37040ee7efbb9709c2b4389c4c0fc4,5,,O produto chegou muito rapido e de boa qualidade recomendo o produto,2018-03-09 00:00:00,2018-03-12 10:32:15
a6bc40c95bd18c5647ec3730af377433,6649d935be7a1df58b2dc3754fb17379,5,,,2017-08-02 00:00:00,2017-08-03 13:55:16
d759baf5b86943cc94607ca678da40f4,8821146ecf8a1eb441aa052b371f1814,5,ótimo,,2018-08-16 00:00:00,2018-08-20 23:07:01
457d3e9951f4f059f364f622ff647bac,11b33f091608b48c86184dcfd339dc9e,1,,,2017-12-24 00:00:00,2017-12-25 06:41:20
ac3ab0f5a507850465330d727ec63580,95e418ea130a24742051eb864d986af5,2,,,2018-04-27 00:00:00,2018-05-02 01:48:56
9c8fa795fde24263e0ccbcbc91b8546b,083f267075b03a6cd837f4faa2c7b881,1,Meu produto não chegou,,2018-08-02 00:00:00,2018-08-02 12:19:03
adec14df6742a9de2fab36658333513d,a080255684c6772ec5153e1b847c9240,5,,,2018-08-21 00:00:00,2018-08-24 23:28:34
0cfbae37fe8a71519696f3589a4050bb,800e1eb8758f73d800f1a4c6fbad186b,1,,"Recebi apenas 1 detector de metal e a compra foram de 2 unidades. Como podemos resolver isso?",,
"Sensacional!!!\"",2017-10-12 00:00:00,2017-10-14 23:04:33,,,,
9b7d11f76f2a6fde1552f96a4df8d227,85786ed6b45d6b5897d8040879e0a899,5,,,2018-02-21 00:00:00,2018-02-22 18:20:43
7585439547a5fe024279ff46bee42c7f,965755dbb84ff452c0e084ef9d1f21a3,4,,O cheiro muito bom,2017-10-20 00:00:00,2017-10-20 21:13:34
f27763891396379f4bf1b69ca9ffdfd2,8b6698a86e777937d240b9c7b6476ce9,5,,,2018-01-11 00:00:00,2018-01-12 01:43:16
724f0ed9096a0579d32581ea76ae99c5,9aba5a261ecd7b4c4d324ee1ab55cae7,5,,,2018-06-27 00:00:00,2018-06-28 14:54:15
f80a8111b7a2d6aa8d1695cabb7f7a1c,c3fca467556ab95b1ac889ba3320b6e4,5,,,2018-01-06 00:00:00,2018-01-06 21:30:42
951c74139bb5721ef9356dc3729d0fc5,4064338b1a0771e658af6c71d3fa2604,4,,,2017-02-26 00:00:00,2017-02-27 00:04:24
73379b4fbaa9719927399f567286c84a,0aaab3c070a479ff8654a14d13ea750a,5,,,2017-07-12 00:00:00,2017-07-15 12:49:25
06796fba11b83c1845225e5305565834,a2801b8cd69a7543e074b6c66e0b6e42,1,,,2018-05-11 00:00:00,2018-05-12 03:47:15
b54725f62a35e44726d2ba9ce1c51e84,53aef74d5e95ede5ab3a78d696eafb6f,5,Entrega rápida,,2018-07-13 00:00:00,2018-07-15 18:57:16
d45227f1167b2c10dd12dfe0087b858b,72c6c412519423a1a046bd52a9db5560,4,,,2018-01-24 00:00:00,2018-01-24 22:16:05
30724723fb571c9fb33890d60dd20241,b352b37732770128092c01c05cb2d8f7,5,,,2018-03-08 00:00:00,2018-03-10 19:48:51
8bad66db35002440f58a0686633facc7,336ed4e4f5edad73028eb4fd741e804b,4,,,2018-02-20 00:00:00,2018-02-22 21:39:23
72cbb1369ba5acfeee3f296c21921190,3366be2b7b4862b8defdcd2409db58ff,3,,,2017-03-22 00:00:00,2017-03-25 12:44:57
358b56c53b84beb2ee553a7c62680628,9dc2f5ffe1031614a3db70c07d9bd36c,5,,,2017-09-29 00:00:00,2017-10-02 13:41:36
90dae2908359fe22d59b276330edb8f0,987430b7ddb6c5c4a9a83505e40a5f4c,5,,,2017-05-30 00:00:00,2017-06-03 21:00:26
b81765e183d03c3dea04f2bcf4044724,36ca3c87ca7562cf9be42d80a0abe097,5,,"Super recomendo , não utilizei ainda mais dá para ver que o produto é de excelente qualidade , fora que foi entregue muito antes do prazo , nota dez !",2018-02-21 00:00:00,2018-02-22 11:09:47
a4b2bf3ca1b43cc51a33691c34d48de4,0ccb5b7bf95c5b642f3717b08c633361,4,,,2018-07-14 00:00:00,2018-07-14 22:45:54
d78073309da55a888d9cb1b949ab3399,6b2cfda97c8ef916043547d84658ba6f,5,,,2018-03-08 00:00:00,2018-03-12 11:16:18
9190a055229ffd73f150d374ea4888c3,0d41469b51221ce43524f07c73a94878,4,,,2018-05-10 00:00:00,2018-05-11 03:05:10
eafa0ae0a785c85ec8e5a7000e7a99ec,0435404d45d367d6da14e7628c40a041,5,,,2017-06-02 00:00:00,2017-06-04 22:38:08
