geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1035,-23.540204555658082,-46.644147057043064,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,são paulo,SP
1036,-23.543961695799023,-46.63725596557798,sao paulo,SP
1023,-23.54133390452421,-46.63082990175424,sao paulo,SP
1127,-23.527735040250406,-46.64480016028046,sao paulo,SP
1102,-23.531764819320195,-46.6321551397369,sao paulo,SP
1127,-23.525611732442748,-46.63943687301638,sao paulo,SP
1222,-23.545465376074787,-46.646443121011,sao paulo,SP
1221,-23.547195471002325,-46.64862436372553,sao paulo,SP
1216,-23.53339626089215,-46.6475466895666,sao paulo,SP
1231,-23.539316731057767,-46.65767884041202,sao paulo,SP
1230,-23.53523126533555,-46.65624154371284,sao paulo,SP
1308,-23.55535958174156,-46.65289373757864,sao paulo,SP
1327,-23.568238854838736,-46.64375425353456,sao paulo,SP
1416,-23.561077462952245,-46.668582456142914,sao paulo,SP
1409,-23.567027595331567,-46.663434145997975,são paulo,SP
1415,-23.553181414103495,-46.657235734664425,sao paulo,SP
1411,-23.560375295314177,-46.66062276296962,sao paulo,SP
1449,-23.576689749927887,-46.68089440368747,sao paulo,SP
1453,-23.58067163641869,-46.68355449042071,sao paulo,SP
1403,-23.56846589785911,-46.653163988487464,sao paulo,SP
1452,-23.576427147094506,-46.687299528160956,são paulo,SP
1415,-23.55560525422706,-46.661008834727866,são paulo,SP
1510,-23.55619865667379,-46.63344748251487,sao paulo,SP
1546,-23.57964152928614,-46.6203735,são paulo,SP
1540,-23.567898949766267,-46.62551737745978,são paulo,SP
1503,-23.559843666397306,-46.637885924490845,sao paulo,SP
1534,-23.569415455450418,-46.627167477667435,são paulo,SP
1538,-23.580519987544342,-46.62462559469518,são paulo,SP
1544,-23.576609797391654,-46.62119329141903,sao paulo,SP
1507,-23.558336353143755,-46.63584787589924,sao paulo,SP
1543,-23.575755845951942,-46.62009625506377,são paulo,SP
1508,-23.560627945871136,-46.634118432425346,sao paulo,SP
1540,-23.567987955306187,-46.620847168330556,sao paulo,SP
1535,-23.569097144324545,-46.621090728836066,sao paulo,SP
1526,-23.564006811270115,-46.631550916757874,sao paulo,SP
2075,-23.502554235356932,-46.6016595133302,são paulo,SP
2013,-23.50274477491485,-46.62689794976628,sao paulo,SP
2079,-23.49766682653356,-46.61030139439665,sao paulo,SP
2018,-23.497591138001674,-46.625918753043244,sao paulo,SP
2036,-23.50100555453289,-46.62007124562871,sao paulo,SP
2131,-23.505004948929557,-46.580080065497164,sao paulo,SP
2135,-23.495566075220694,-46.585274710514184,sao paulo,SP
2125,-23.511201463788957,-46.58447403038266,sao paulo,SP
2190,-23.510004108517528,-46.56388916985978,sao paulo,SP
2127,-23.502550734952894,-46.58123997530151,sao paulo,SP
2136,-23.497779478215683,-46.5802835029142,sao paulo,SP
2169,-23.544910061501003,-46.63582645766734,sao paulo,SP
2181,-23.520093799613345,-46.56330233097696,sao paulo,SP
2126,-23.50852632722604,-46.58943434984707,sao paulo,SP
2190,-23.50494357285476,-46.56553974271452,são paulo,SP
2144,-23.502616994171618,-46.569970927289475,sao paulo,SP
2222,-23.484630300305838,-46.57788816694557,sao paulo,SP
2267,-23.47713679961336,-46.59883977407813,sao paulo,SP
2279,-23.460846903975945,-46.576803007213364,sao paulo,SP
2206,-23.481936346096173,-46.59862923827112,sao paulo,SP
