geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1046,-23.545317917306143,-46.64397479626647,sao paulo,SP
1049,-23.54797787399732,-46.64007553774023,sao paulo,SP
1037,-23.546093374689814,-46.639759185815684,sao paulo,SP
1034,-23.542106542327883,-46.63658202790115,são paulo,SP
1042,-23.54394221638233,-46.641445640134,sao paulo,SP
1154,-23.53158118373822,-46.66174681473255,sao paulo,SP
1121,-23.53034120621503,-46.636220885798316,sao paulo,SP
1124,-23.527821688037392,-46.634671173466444,são paulo,SP
1139,-23.519764372468117,-46.66152087621903,sao paulo,SP
1140,-23.516097025401578,-46.66821806463093,sao paulo,SP
1123,-23.52839417790984,-46.63675764418032,sao paulo,SP
1132,-23.521049160713158,-46.649228951699506,sao paulo,SP
1242,-23.547526626983625,-46.655803272693156,sao paulo,SP
1232,-23.537702693029058,-46.652874496249076,são paulo,SP
1250,-23.547989807115176,-46.67229749694157,sao paulo,SP
1244,-23.54793619539499,-46.660680776011354,são paulo,SP
1212,-23.537616505972608,-46.64013594962203,sao paulo,SP
1219,-23.541477496249083,-46.64613024271452,sao paulo,SP
1233,-23.5355196217035,-46.6617487209302,sao paulo,SP
1244,-23.543609731057757,-46.65956126588382,sao paulo,SP
1303,-23.548889043020367,-46.64543321481337,sao paulo,SP
1329,-23.560611904524208,-46.64698163336027,são paulo,SP
1319,-23.55071881932019,-46.641980053840406,são paulo,SP
1312,-23.55683964607235,-46.65177558048839,sao paulo,SP
1328,-23.555454580068126,-46.64618254010617,sao paulo,SP
1321,-23.56182626533555,-46.64165490660168,sao paulo,SP
1409,-23.557286074383963,-46.655512668619004,sao paulo,SP
1420,-23.566663079375637,-46.65414185123206,sao paulo,SP
1429,-23.577324663338892,-46.66094126686476,sao paulo,SP
1423,-23.570948609210017,-46.654013080068104,sao paulo,SP
1443,-23.567268402177596,-46.68490776931483,sao paulo,SP
1427,-23.57460322730685,-46.65993379141905,sao paulo,SP
1451,-23.57433369447675,-46.6889035806705,sao paulo,SP
