geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1131,-23.529158318627697,-46.64134706148645,sao paulo,SP
1139,-23.518892512926165,-46.67646035734891,sao paulo,SP
1137,-23.524910245080445,-46.65253699056492,sao paulo,SP
1102,-23.524350590339896,-46.62974008869512,sao paulo,SP
1106,-23.52843538550986,-46.62956501457094,sao paulo,SP
1121,-23.52868592922271,-46.63569032030114,sao paulo,SP
1222,-23.545407510675812,-46.64725200000001,sao paulo,SP
1258,-23.54130919954993,-46.68434626464306,sao paulo,SP
1227,-23.547859868168935,-46.658684483755614,são paulo,SP
1219,-23.540390246725227,-46.64500026198866,sao paulo,SP
1226,-23.53833520760001,-46.65153426547978,sao paulo,SP
1207,-23.53956724340701,-46.63835023535692,são paulo,SP
1241,-23.543602878440723,-46.662990365110524,sao paulo,SP
1232,-23.537851795169946,-46.6613434056494,sao paulo,SP
1303,-23.54916349570083,-46.65034121524605,sao paulo,SP
1322,-23.562069432973612,-46.643904990420715,sao paulo,SP
1321,-23.559108432973613,-46.64087543213689,sao paulo,SP
1306,-23.554889476542243,-46.64957878795658,são paulo,SP
1404,-23.569763679150597,-46.65699128810082,sao paulo,SP
1405,-23.565046285590665,-46.65511967583238,sao paulo,SP
1420,-23.56507683680534,-46.65616173258697,sao paulo,SP
1415,-23.557813805441736,-46.6633328680247,sao paulo,SP
1422,-23.56769330114256,-46.656838979744904,são paulo,SP
1415,-23.56067075575627,-46.66640273703037,sao paulo,SP
1445,-23.569003382739886,-46.68869584707711,sao paulo,SP
1454,-23.582669730509505,-46.68735688037396,sao paulo,SP
1435,-23.58042683458363,-46.67075084776962,sao paulo,SP
1409,-23.566809646402017,-46.66321215321135,sao paulo,SP
1403,-23.56999847460901,-46.65186136164807,sao paulo,SP
1421,-23.561551257285473,-46.66219091035259,sao paulo,SP
1508,-23.561460104362595,-46.63526195184375,são paulo,SP
1525,-23.562264206215023,-46.63351497169482,sao paulo,SP
1536,-23.564470494864114,-46.62264964016959,sao paulo,SP
1522,-23.56021401941838,-46.6175201493162,são paulo,SP
1532,-23.57151879378497,-46.63452492062435,sao paulo,SP
1532,-23.57299854509784,-46.63530965973222,sao paulo,SP
1529,-23.570462190114863,-46.6364571910958,sao paulo,SP
1532,-23.571583868168936,-46.63540527615559,são paulo,SP
1509,-23.563747110190977,-46.636509164031395,sao paulo,SP
1514,-23.558910621703504,-46.63070772093021,sao paulo,SP
1548,-23.580396387731557,-46.61374164210284,são paulo,SP
1514,-23.554591564804674,-46.628867760892156,são paulo,SP
1534,-23.566030648623716,-46.62525709423503,sao paulo,SP
2073,-23.501230323619367,-46.60751038343238,sao paulo,SP
2017,-23.50097200121827,-46.63885797136135,são paulo,SP
2018,-23.49740288395903,-46.626508768762264,sao paulo,SP
2065,-23.50933273327946,-46.60554417816963,sao paulo,SP
2045,-23.495295677217346,-46.61654449723004,sao paulo,SP
2084,-23.497944915344245,-46.600578026775985,sao paulo,SP
2081,-23.49704326977896,-46.60356973022105,sao paulo,SP
