order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
003a7f59d7e08a9c61d9e2881fe6459c,1,a4d286543a67e29c930c99cbd7a55a8f,b410bdd36d5db7a65dcd42b7ead933b8,2018-08-22T11:49:46.000Z,119.0,15.28
0103878b7ed86b6ec873cfae01379472,1,447934cd014b033280977350b730d892,b4f8921fcc4ff77b66bea6dda43dcd51,2018-08-20T00:15:41.000Z,229.99,35.37
01358622f65717728b3b2ec2cf4e8812,1,017692475c1c954ff597feda05131d73,3c7c4a49ec3c6550809089c6a2ca9370,2017-11-02T22:10:14.000Z,13.99,7.78
019e03014ec20cc2e3b180cdcf90b4e8,1,8c4456c061013adccb1ba4cbce2d0365,8cc6a0e5738e61a87b03c78b2ba9db4b,2017-04-11T11:22:51.000Z,738.9,25.62
01eaa000fe5c9f80f535c3d0cad25a47,1,6b7de889f456ee35f031172d358b2cd2,594f9aaa48e5bf431f011ddc5669b0d5,2018-08-17T16:31:27.000Z,135.9,16.02
02b63408e665194f2794a94576001e56,1,0f3777229e40207d248acfd6e1f716b6,e2aee0892199b1d92530e371abd825bf,2017-03-22T08:53:48.000Z,189.9,49.85
03d631cfa59f71c4a9cd31a6bb7467fe,1,f10f55939660d23138e46c72acb7498b,c4d51195486dc781531876a7d00453d8,2018-06-15T11:49:52.000Z,364.98,39.24
04105b54650921ca3246f52e6f175f46,1,aca2eb7d00ea1a7b8ebd4e68314663af,955fee9216a65b617aa5c0531780ce60,2018-04-27T09:31:35.000Z,69.9,0.0
047e0e88828680c6cd9c476d555823e2,2,41db6d8062fcd38410c699743ccc0265,92eb0f42c21942b6552362b9b114707d,2018-05-29T08:56:47.000Z,13.77,17.61
04f15733e3974c4127cb066cb835cdc9,2,3a806ac1ab98107febb4ffcf38bc1fac,adbc26658d6c7b4b6219f9d934598091,2018-02-09T14:15:39.000Z,130.0,18.16
0528d983de4118f6b36d55e407d24f94,1,013ee64977aaa6b2b25475095162e0e9,640e21a7d01df7614a3b4923e990d40c,2018-07-25T10:32:24.000Z,69.99,14.8
055881c8e807f4d1147c2f075d51d604,1,ce87eb0f80420c505b53adef21bf93d6,5f3ae9136c875522250f8184f253413a,2018-05-03T23:50:15.000Z,39.9,8.29
0572c29de369acbc110ad921d93d01a1,1,d961667356e6dffef33c0d0eb4c327cc,dc4a0fc896dc34b0d5bfec8438291c80,2017-10-10T15:04:08.000Z,59.9,15.15
0641c2d6df642517fb73e1ac88a188a4,1,a9b36aaa68ebd315701524c822800f29,1ce3ae5a399804d1a87e706f8a813c3e,2018-04-09T05:10:23.000Z,79.9,19.53
072577283d9ec2718f05c37d141d65de,1,73a79a46f21913c65ebb8071f480ee11,5160d23075764e18e07c1f4a87fad743,2017-09-28T09:10:23.000Z,75.0,7.78
07e2a9d486a8394f2700230396e8d5f0,1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2018-02-28T21:46:57.000Z,209.9,61.93
08119452a05228b9c7e379abf9622dab,1,f282b8032570cf3ce692b8ea7e1b6c53,e8b4225284fbb02d16f200513f1f395d,2018-06-17T21:54:39.000Z,149.9,24.91
08273b57741a2ee2f20725323393b0a2,1,d3f90867737a01e4df1ff8879e235a9a,7040e82f899a04d1b434b795a43b4617,2018-04-12T21:29:24.000Z,219.9,32.93
082d9e610509b115a17045c97c207811,1,b192be433004cc1f10b467c0e9ea309b,de722cd6dad950a92b7d4f82673f8833,2018-06-12T02:57:38.000Z,197.5,39.43
084f5caa157d28601e72b588e656e3ec,1,bc2d6310e5cbd60facb2f9c8d9471597,dc317f341ab0e22f39acbd9dbf9b4a1f,2017-07-06T16:55:16.000Z,629.0,67.08
0922ee1619de7b995648e5a8407afb91,2,30caacf4dfc199dc577a9627395a881d,f80edd2c5aaa505cc4b0a3b219abf4b8,2017-07-17T10:55:15.000Z,64.9,5.99
09514821d13482daa26aadf8c2273e7f,1,2f02a124a827f65bfcc0baf443dad405,218d46b86c1881d022bce9c68a7d4b15,2017-02-11T20:08:49.000Z,340.0,18.53
097b96a18f0058373d0f5e3041a27f0a,1,f9a26e326cd01165ff614a519473afbb,4e922959ae960d389249c378d1c939f5,2017-08-29T02:30:16.000Z,49.0,25.63
09c636e254bb18eeef943452017249f4,1,fc84057c7ba16fe04a3c66cf104e02a6,b92e3c8f9738272ff7c59e111e108d7c,2017-12-05T14:55:20.000Z,169.9,70.41
0a075803f6a9f73007c86d42003cc231,1,01bacce2c74317ed2524bcaabae2e9d4,0725b8c0f3f906e58f70cbe76b7c748c,2017-04-06T00:32:35.000Z,28.78,11.74
0b7ed5e5b6354118fdeec73b9f9fd8a9,1,1c4de4dd53a801716c8a3a2cf51f35fa,6560211a19b47992c3666cc44a7e94c0,2017-06-15T23:35:12.000Z,149.0,12.54
0beab7700e74cb828b63e0a174e17256,1,47969dd948e918289f809be899ddfb4c,014d9a685fd57276679edd00e07089e5,2018-04-26T10:30:41.000Z,43.99,7.87
0bfd90889de46373db5089b3bb941135,1,0faa4ca558654b554d4d09abd8fe33d2,8d956fec2e4337affcb520f56fd8cbfd,2018-06-13T20:31:52.000Z,22.49,7.39
0c8675dc2e52ab52977a76d810e45303,1,73026ce2daa69ea29901945b1f915846,b1fecf4da1fa2689bccffa0121953643,2017-02-01T15:55:11.000Z,89.9,18.0
0d92f9c47e96d946ca421dd3ea531b2a,1,ddceb6eef6af67e9fbbd4c148dbe5fd9,ceaec5548eefc6e23e6607c5435102e7,2018-08-02T14:30:17.000Z,209.99,35.23
0e3f0e36f889146f31ef72cfeb1a1d30,1,2772d1e494d431a05b7bcc95b02163b6,d4910f1cdcfdabd48d6b316e395d4a23,2018-08-21T17:30:06.000Z,95.28,18.91
0e500dffc01c92a23a3a011ce669d039,1,efcb9126521b2cad4902c2346168c65b,ed4acab38528488b65a9a9c603ff024a,2017-05-31T02:45:26.000Z,21.52,11.85
0e782c3705510e717d28907746cbda82,1,79da264732f717f10ebf5d102aa6c32a,562fc2f2c2863ab7e79a9e4388a58a14,2018-05-07T08:52:58.000Z,29.99,7.39
0ee83875134e649fc7cc3b867c337bee,1,c915ddfdd3e9d773e0939691e85f1d38,6d803cb79cc31c41c4c789a75933b3c7,2018-03-16T03:35:39.000Z,59.9,19.39
0f758f5895563ce1892043bc8f17dda1,1,e5b1f66dbce509c58fa37ff08428f91d,f27e33c6d29b5138fa9967bcd445b6d5,2018-06-07T02:13:54.000Z,48.9,56.9
0faa73d77b7f91828bd92315a94d6ef4,1,d032d8b0107424eff267d0d1de3b6a80,7e93a43ef30c4f03f38b393420bc753a,2017-03-06T13:41:43.000Z,311.94,17.39
10d1e90a86d2be981a52b6a927c97dc5,1,d38b73f9519632415b56acb83abc77fa,575df70bde3f9f2b30bf8d2e9910d725,2016-10-11T10:11:31.000Z,199.9,33.7
1150c73ca4c9c78e59170256f8b93e16,1,51f34083de64e6e8bd820c7e05a5a0d6,863d2ebcd347ce4922de7a0f9a5581d6,2017-12-13T10:17:27.000Z,57.12,7.94
117af81a8bc7ab82a72c3255780d8149,1,f4e6bfb807b4a576105982a590147673,cca3071e3e9bb7d12640c9fbe2301306,2017-11-22T18:15:53.000Z,52.64,11.87
11edf2e8e2e689ab25e609f6a45b5b7a,1,386486367c1f9d4f587a8864ccb6902b,cca3071e3e9bb7d12640c9fbe2301306,2017-06-30T15:15:15.000Z,119.9,18.09
12c66c45d332a69f08f11ceecf3dd8d4,2,2180541a551b218f67e8bd22614688d1,cd06602b43d8800bd0afad514919d35c,2017-04-05T02:05:11.000Z,5.0,14.52
13359bb817972f7492a922fa64a69cad,4,6e423c2d28bfb207e1fd1d6e1df84721,289cdb325fb7e7f891c38608bf9e0962,2018-07-24T10:15:22.000Z,28.89,23.91
1429d024a5b24651ee03fd7216d95247,1,1b820caf50df248cf5ef1642359a1812,b92e3c8f9738272ff7c59e111e108d7c,2018-06-01T07:55:16.000Z,169.9,206.5
