order_id,payment_sequential,payment_type,payment_installments,payment_value
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.7799988
557cc2675910c4a6c9b54ad276f25097,1,credit_card,1,56.7700005
7327c30a5230ce07bc2c7a695d553a00,1,credit_card,4,40.2700005
52636dd3c039f62169b0eb724af63047,1,credit_card,2,77.7699966
22543080a0066963931832c0df11b2be,1,credit_card,2,54.25
c8f8f9f5df7a6ce2beaa9de85fbf8ca1,1,credit_card,5,108.0
68051b9b65c4b30fc1252a2b69fe1d0b,1,credit_card,6,125.769997
8d6ed3e982e12a1684b31540309e044b,1,credit_card,4,236.809998
906f47e5cb0a80530bf2e789e6e6a0cd,1,credit_card,10,179.919998
d0fcb0e64631dcf3a108b1837a69d9a5,1,credit_card,1,5.36999989
b87bff2c2c7ce847dc3c9459a117c3b5,1,boleto,1,164.550003
3dd45cc3460f14bbe6c2249a8019a450,1,credit_card,1,38.3699989
509952a95c250007c345b4b929663dc6,1,credit_card,6,136.910004
c401e0f907a3a0912a86473918b3aaa0,1,boleto,1,139.279999
cf8734286de02dbdf9700cdf2bf07976,1,boleto,1,55.0400009
af665fdb65698c6161b3f5ab956f3d2e,1,boleto,1,72.4499969
510bff1cf06be1143d3b6698df2fd486,2,credit_card,8,406.380005
0e135d08663e167e3c28ef4b5c61424c,1,credit_card,1,97.7099991
e44883a879c6f6572bba41ae8ed98e93,1,boleto,1,72.7600021
500e119c1ffc702e84371d25d5b29f96,1,credit_card,5,106.870003
79b49127db2c9bc718a161183671505c,3,voucher,1,20.0
c7c8b7eca811b5f2d08999ad1c3e4f9d,1,credit_card,2,147.779999
dedbf4a9f32dd77fa0d5db00bbf70b31,1,credit_card,2,102.059998
86f408a9212aebbcddb41c1e8c65ebe0,1,credit_card,3,35.4500008
724a9c4449f1ff54ffe60064715811e1,1,credit_card,3,79.4300003
620ea07d40c8834b597d0eba70441dc5,1,credit_card,10,328.0
61fa17b757ab7e6e7900e8ea76786e0d,2,voucher,1,90.0999985
b948b354fbf88e12e43fc0877623eef9,1,debit_card,1,244.220001
34a254b2668083c77b9158c151571877,1,credit_card,1,34.0900002
97406fbd0681b611192617f872175edb,1,credit_card,1,73.6800003
cebfb93d43892425be3fe47edbb54347,1,credit_card,4,237.940002
617f3ac92b6ecb2e873e6075d9f936d7,1,credit_card,2,67.5999985
75ad3bc2c20ac416220546b2268066dc,1,credit_card,1,87.1600037
840ee6b10ece14a3b4612f72e1fe6c75,1,credit_card,1,31.75
da9f86485be515d23d10033bdfe2f8ad,1,credit_card,3,160.070007
4a4d085561af094aeffaeb7fdaeac8ac,1,credit_card,2,137.240005
a2d57c3e9335cbd7ba8c89cd98c26676,1,credit_card,1,120.589996
6aa40159104472e7b1ba3ea38cc2c817,1,credit_card,10,826.789978
ad679e9379f7d33db28625c0c859114f,1,credit_card,2,226.089996
ad2891e57d3697aab5379b457214511a,1,credit_card,3,95.5599976
a28ddb8374055bd8000ae0b1d8526942,1,credit_card,5,156.919998
4e0158c628911a5f52cfbc38242c0d08,1,credit_card,1,36.6899986
03ea970e60ecfa4b84a69ddc665262a5,1,credit_card,6,132.570007
a467400c8e1765c5245eb8c9839a27f8,1,credit_card,1,133.5
713824809fec35c7cd7125d6a6bd347c,1,boleto,1,36.7799988
2e3400d43bbd1c921a404c654a0e7bf7,1,credit_card,1,27.6900005
43d782238f80b75ff6b62c0e535ce34a,1,boleto,1,41.7799988
22fe58e8a8084630f52ce3fbb02c9ac1,1,credit_card,3,230.520004
77b6edd13efe99269ef9b78006e133a3,1,credit_card,2,134.899994
9c48af0db9cf0d3d5fde3bbf1b9381c7,1,credit_card,8,86.1800003
17977c94608050b43e782e6f72874c0e,1,credit_card,10,347.26001
