order_id,payment_sequential,payment_type,payment_installments,payment_value
3e0c3cab458e8b3cc8d1d38ecb7e7775,1,credit_card,2,105.529999
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
9389b64e7d922e3b0c30f8026e418e64,1,credit_card,4,125.43
fb8d6e92e3a08fe6485d4fb08d23ae0e,1,credit_card,1,21.0400009
938b81c296794bf21f608257efd9aae9,1,boleto,1,68.1200027
879dd3373c7f9f0412d2ee301cdadbdb,1,credit_card,1,48.2299995
6cc24bf6c628c261d2f9f0f7eef52a93,1,credit_card,2,159.800003
5745e260f636fdd0cef91f81a164631d,1,credit_card,10,156.389999
08d551ca6776789b820288466888bc3a,1,credit_card,3,63.4900017
b88187e3e61e2aa58b398415c2d2d4cc,1,debit_card,1,44.1800003
be0cfa52def8dbec8774d5caf15b61a8,1,credit_card,5,891.909973
f20142c58be62ba5f9175df74670dcb5,1,boleto,1,79.4599991
5a77e4bc8ac96edc52bed4bc00eaab7c,1,boleto,1,45.9500008
8c9479e56a7609daf0260e1ed2a1d674,1,credit_card,1,115.349998
30a461491fa262d5d6321e3194bbb452,1,credit_card,1,63.8300018
f86df9fa4000285e8ba647d4c6df5b7c,1,credit_card,3,114.18
15735c67370744a57eb8978014aead04,1,credit_card,2,183.850006
eb6856a5040be42730df3dd8004a39f7,1,credit_card,8,908.669983
612f068f7f21e8eb30c2747b98f5cd5d,1,credit_card,10,220.789993
2b8c5991476242babd85ba5b7ca5a7cd,1,credit_card,8,377.700012
bdfa4237c19c14513acaf750e3e8b7f1,1,boleto,1,33.2400017
b0200fb90c91c50e3310f7f78f68fdfc,1,boleto,1,330.799988
c566b950d2202b136e2ae899fc0f5df4,1,credit_card,8,368.109985
83f524dae71f9cada869247b753f2abb,1,credit_card,5,112.589996
54ac92ea720b2574ecf18f372f41ea71,1,voucher,1,22.0599995
5a688ff634ac5a154a1e6f65d29d51e2,1,credit_card,2,40.2299995
2ee76a4a1d729880a350fcda807b492b,1,credit_card,10,141.509995
298ee4d77c0352fc41f432254afdf1d3,1,boleto,1,45.7000008
a7cd6af6e0519313887b3c3a120f20ca,1,credit_card,4,43.2900009
4fb9c9ddfd0e850bd7523714d7e90d7a,1,boleto,1,22.6800003
feb1bffbc0aa19c5d82a2d326737877d,1,credit_card,3,31.75
74b9959056734d2fa68d5570ea482664,1,credit_card,1,109.589996
f18481fd839eabadc3d84dc73eead362,1,credit_card,4,117.010002
e92b2d83c0c4f6e2f95b1f178a994bdd,1,credit_card,5,99.5199966
fe05c6dcaf512456a03860df06cc034c,1,boleto,1,56.3499985
6f433e1b5764eb255869aedbee1b9d72,1,credit_card,6,162.350006
38422c08f54da1ce80e0a5eb373d7d82,1,credit_card,1,118.879997
